"","Lab_ID","ID","time","Amt.N","Amt.C","sample.mass","d15N","d13C","per.N","per.C"
"163","PNE-BBH-01","bbh_04",6,NA,NA,0.457,10.86,-23.82,14.57,44.8
"164","PNE-BBH-01","bbh_04",9,NA,NA,0.432,10.4,-23.88,15.48,47.31
"165","PNE-BBH-02","bbh_05",0,0.0618165466133597,0.195408643539675,0.461,11.321125,-26.1076453301315,0.13409229200295,0.423879920910357
"166","PNE-BBH-02","bbh_05",3,0.065348674,0.197841246,0.45,11.43563636,-26.1494681,0.145219275,0.439647214
"167","PNE-BBH-02","bbh_05",6,NA,NA,0.44,11.46,-25.9,15.49,46.41
"168","PNE-BBH-02","bbh_05",9,NA,NA,0.437,11.6,-26.43,10.82,32.81
"169","NTH-BBH-01","bbh_06",0,0.0598616763150259,0.194005825601156,0.44,8.84309090909091,-29.751535216063,0.136049264352332,0.440922330911718
"170","NTH-BBH-01","bbh_06",3,0.061964056,0.191658667,0.44,8.843636364,-29.37218767,0.1408274,0.435587879
"171","NTH-BBH-01","bbh_06",6,NA,NA,0.438,9.31,-29.84,15.93,52.58
"172","NTH-BBH-01","bbh_06",9,NA,NA,0.445,9.4,-29.16,14.66,42.39
"173","SHW-BBH-01","bbh_07",0,0.0666605459086949,0.213786044568553,0.456,11.198125,-31.5387153230071,0.146185407694506,0.468829045106476
"174","SHW-BBH-01","bbh_07",3,0.061400884,0.187785568,0.44,11.27163636,-31.35876331,0.139547463,0.426785382
"175","SHW-BBH-01","bbh_07",6,NA,NA,0.451,10.93,-31.02,14.88,44.86
"176","SHW-BBH-01","bbh_07",9,NA,NA,0.437,11.23,-31.2,14.51,43.86
"177","KTM-BBH-01","bbh_08",0,0.0581706230075792,0.190041088112728,0.428,10.126875,-27.0706150780288,0.135912670578456,0.444021233908242
"178","KTM-BBH-01","bbh_08",3,0.066538524,0.200895468,0.455,10.21463636,-26.54615944,0.146238515,0.4415285
"179","KTM-BBH-01","bbh_08",6,NA,NA,0.435,9.75,-26.92,4.8,14.84
"180","KTM-BBH-01","bbh_08",9,NA,NA,0.43,10.66,-27.26,15.57,47.46
"181","KTM-BBH-02","bbh_09",0,0.061444405019657,0.20588779913868,0.456,11.63625,-28.2357086477273,0.13474650223609,0.451508331444474
"182","KTM-BBH-02","bbh_09",3,0.065914638,0.20325999,0.485,12.03563636,-27.9699273,0.13590647,0.419092762
"183","KTM-BBH-02","bbh_09",6,NA,NA,0.439,11.59,-28.09,13.13,39.58
"184","KTM-BBH-02","bbh_09",9,NA,NA,0.455,12.3,-28.36,15.17,46.14
"185","KTM-BBH-03","bbh_10",0,0.0598969712519415,0.197463713839711,0.431,12.021875,-25.8311755711351,0.13897209107179,0.458152468305594
"186","KTM-BBH-03","bbh_10",3,0.06350493,0.19165979,0.456,12.19263636,-25.82445908,0.139265196,0.420306557
"187","KTM-BBH-03","bbh_10",6,NA,NA,0.446,12.26,-25.66,14.27,43.26
"188","KTM-BBH-03","bbh_10",9,NA,NA,0.452,12.55,-25.76,12.76,38.42
"189","WLD-BBH-04","bbh_11",0,0.0639315292149851,0.217199739695764,0.466,13.907875,-32.1027191040826,0.137192122778938,0.466093862008078
"190","WLD-BBH-04","bbh_11",3,0.071948705,0.271351921,0.481,14.06136364,-32.59902509,0.149581506,0.564141207
"191","WLD-BBH-04","bbh_11",6,NA,NA,0.45,14.05,-31.5,14.11,43.33
"192","WLD-BBH-04","bbh_11",9,NA,NA,0.462,14.1,-30.64,18.26,56.59
"193","WLD-BBH-03","bbh_12",0,0.0612808486552259,0.204422669242162,0.447,13.551375,-33.0430795970265,0.137093621152631,0.457321407700587
"194","WLD-BBH-03","bbh_12",3,0.078734782,0.206317153,0.442,13.35536364,-32.44898113,0.178132992,0.466780888
"195","WLD-BBH-03","bbh_12",6,NA,NA,0.46,13.73,-32.53,13.9,41.18
"196","WLD-BBH-03","bbh_12",9,NA,NA,0.433,13.73,-32.42,15.46,47.33
"197","SHC-BBH-01","bbh_13",0,0.0608578293340582,0.197124607064739,0.453,10.9880909090909,-24.9439053658278,0.134343994114919,0.435153657979557
"198","SHC-BBH-02","bbh_13",3,0.076063345,0.218381249,0.475,10.78436364,-25.40017539,0.160133359,0.459749999
"199","SHC-BBH-03","bbh_13",6,NA,NA,0.44,11.02,-24.88,15.51,46.82
"200","SHC-BBH-01","bbh_13",9,NA,NA,0.446,11.41,-25.21,15.07,45.77
"201","SHC-BBH-02","bbh_14",0,0.061461845,0.202591362,0.459,10.7492,-25.19539331,0.133903801,0.441375517
"202","SHC-BBH-02","bbh_14",3,0.078812636,0.215115736,0.452,10.56336364,-25.17025344,0.17436424,0.47591977
"203","SHC-BBH-02","bbh_14",6,NA,NA,0.456,10.48,-25.18,13.75,41.31
"204","SHC-BBH-02","bbh_14",9,NA,NA,0.444,10.98,-24.97,14.86,44.66
"205","SHC-BBH-03","bbh_15",0,0.0570070408762813,0.192589147375167,4.4,11.1463636363636,-25.9950320411113,0.0129561456537003,0.0437702607670835
"206","SHC-BBH-03","bbh_15",3,0.071410699,0.239733275,0.47,10.56836364,-26.31789573,0.151937657,0.510070798
"207","SHC-BBH-03","bbh_15",6,NA,NA,0.423,11.01,-28.02,9.11,58.08
"208","SHC-BBH-03","bbh_15",9,NA,NA,0.447,11.04,-26.03,15.41,46.95
"209","SHC-BBH-04","bbh_16",0,0.0606580627811456,0.195507066256818,0.45,11.4550909090909,-23.6900982279013,0.134795695069212,0.434460147237374
"210","SHC-BBH-04","bbh_16",3,0.074802576,0.198512672,0.464,10.66736364,-23.7865616,0.161212448,0.427829035
"211","SHC-BBH-04","bbh_16",6,NA,NA,0.436,11.25,-23.45,14.35,42.76
"212","SHC-BBH-04","bbh_16",9,NA,NA,0.47,11.41,-23.8,15.42,46.59
"213","SHC-BBH-05","bbh_17",0,0.063272811029736,0.205636645897621,0.463,10.7503636363636,-25.5864675497817,0.136658339157097,0.444139623968944
"214","SHC-BBH-05","bbh_17",3,0.084064875,0.228310722,0.469,10.78836364,-25.69530033,0.179242803,0.486803245
"215","SHC-BBH-05","bbh_17",6,NA,NA,0.465,10.89,-25.6,9.87,29.62
"216","SHC-BBH-05","bbh_17",9,NA,NA,0.454,11.25,-25.77,15.03,45.39
"217","SHC-BBH-06","bbh_18",0,0.0608123160789514,0.196480476822763,0.45,10.6030909090909,-24.4130884353226,0.135138480175447,0.436623281828363
